Superficie;Nombre Piece;Prix;Code Postal
21m2;1p;199 000 Euros;PARIS 9E (75009)
20m2;1p;199 000 Euros;PARIS 20E (75020)
12m2;1p;199 000 Euros;PARIS 15E (75015)
18m2;1p;199 000 Euros;PARIS 13E (75013)
14m2;1p;199 000 Euros;PARIS 11E (75011)
20m2;1p;199 000 Euros;PARIS 19E (75019)
20m2;1p;199 000 Euros;PARIS 12E (75012)
18m2;1p;199 000 Euros;PARIS 14E (75014)
14m2;1p;199 000 Euros;PARIS 16E (75016)
18m2;1p;199 000 Euros;PARIS 17E (75017)
17m2;1p;199 000 Euros;PARIS 18E (75018)
19m2;1p;199 000 Euros;PARIS 20E (75020)
18m2;1p;199 000 Euros;PARIS 13E (75013)
14m2;1p;199 000 Euros;PARIS 11E (75011)
18m2;1p;199 000 Euros;PARIS 10E (75010)
14m2;1p;199 000 Euros;PARIS 10E (75010)
15m2;1p;199 000 Euros;PARIS 17E (75017)
17m2;1p;199 000 Euros;PARIS 18E (75018)
18m2;1p;199 000 Euros;PARIS 13E (75013)
14m2;1p;199 500 Euros;PARIS 16E (75016)
26m2;2p;200 000 Euros;PARIS 17E (75017)
17m2;1p;200 000 Euros;PARIS 13E (75013)
15m2;1p;200 000 Euros;PARIS 11E (75011)
15m2;1p;200 000 Euros;PARIS 17E (75017)
14m2;1p;200 000 Euros;PARIS 5E (75005)
19m2;1p;200 000 Euros;PARIS 20E (75020)
16m2;1p;200 000 Euros;PARIS 11E (75011)
25m2;2p;200 000 Euros;PARIS 19E (75019)
15m2;1p;201 000 Euros;PARIS 4E (75004)
19m2;1p;201 400 Euros;PARIS 19E (75019)
15m2;1p;201 680 Euros;PARIS 17E (75017)
13m2;1p;202 000 Euros;PARIS 8E (75008)
13m2;1p;202 000 Euros;PARIS 16E (75016)
24m2;2p;202 000 Euros;PARIS 18E (75018)
20m2;1p;202 500 Euros;PARIS 20E (75020)
21m2;1p;203 000 Euros;PARIS 17E (75017)
23m2;1p;203 300 Euros;PARIS 11E (75011)
m2;1p;204 000 Euros;PARIS 3E (75003)
14m2;1p;205 000 Euros;PARIS 16E (75016)
30m2;2p;205 000 Euros;PARIS 18E (75018)
16m2;1p;205 000 Euros;PARIS 20E (75020)
23m2;1p;205 000 Euros;PARIS 12E (75012)
14m2;1p;205 000 Euros;PARIS 9E (75009)
24m2;1p;205 000 Euros;PARIS 15E (75015)
20m2;1p;205 000 Euros;PARIS 17E (75017)
18m2;1p;205 000 Euros;PARIS 10E (75010)
23m2;1p;205 000 Euros;PARIS 20E (75020)
22m2;1p;206 000 Euros;PARIS 12E (75012)
14m2;1p;206 000 Euros;PARIS 7E (75007)
22m2;1p;206 000 Euros;PARIS 14E (75014)
25m2;1p;207 000 Euros;PARIS 15E (75015)
19m2;1p;207 000 Euros;PARIS 13E (75013)
23m2;1p;207 500 Euros;PARIS 10E (75010)
18m2;1p;208 000 Euros;PARIS 15E (75015)
14m2;1p;208 000 Euros;PARIS 16E (75016)
24m2;2p;208 000 Euros;PARIS 18E (75018)
18m2;1p;208 000 Euros;PARIS 15E (75015)
15m2;1p;208 500 Euros;PARIS 11E (75011)
21m2;1p;209 000 Euros;PARIS 20E (75020)
20m2;1p;209 000 Euros;PARIS 2E (75002)
20m2;1p;209 000 Euros;PARIS 2E (75002)
19m2;1p;209 000 Euros;PARIS 10E (75010)
19m2;1p;209 000 Euros;PARIS 17E (75017)
12m2;1p;209 000 Euros;PARIS 1ER (75001)
15m2;1p;209 000 Euros;PARIS 8E (75008)
13m2;1p;209 000 Euros;PARIS 1ER (75001)
15m2;1p;210 000 Euros;PARIS 16E (75116)
22m2;1p;210 000 Euros;PARIS 18E (75018)
13m2;1p;210 000 Euros;PARIS 11E (75011)
20m2;2p;210 000 Euros;PARIS 6E (75006)
20m2;1p;210 000 Euros;PARIS 15E (75015)
