,Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
Superficie (m2),1.0,0.8541965414258823,0.82117423685082,0.8716941534953935,-0.04894644165574513,-0.0624086653248942,0.21485579039329925,-0.1103455899092097,,,0.3523124038994506,0.2801195977903571,0.268859170702975,0.10920577064181207,-0.10742145659831928,-0.07109117279611735,0.3184924047158775
Nombre Pieces,0.8541965414258823,1.0,0.9678739643250821,0.7058144790040254,-0.037687672941900376,-0.06176208126342454,0.22968280868315716,-0.09645674761481397,,,0.26205805146953687,0.2523194448845915,0.29254110609287753,0.002619041982397569,-0.11924285383634402,-0.02546718753632799,0.26650847208749634
Nombre Chambres,0.82117423685082,0.9678739643250821,1.0,0.6602927722626286,-0.03816798355732783,-0.08134191810897003,0.23579216106086912,-0.11296656110912229,,,0.2481499913974671,0.26966980062630097,0.28244551539881246,-0.00942961417832288,-0.11404854923760789,-0.04374307361242996,0.3673325961022141
Prix (Euros),0.8716941534953935,0.7058144790040254,0.6602927722626286,1.0,-0.06256915270038772,-0.08956737534498797,0.19832780254581547,-0.0916398508439193,,,0.31390782684120194,0.19890788267292378,0.18667426751984406,0.16890121998655697,-0.1395946993426064,-0.05032745643642177,0.40183337737398006
Code Postal,-0.04894644165574513,-0.037687672941900376,-0.03816798355732783,-0.06256915270038772,1.0,-0.08983600024401141,-0.018426608088912746,0.09716515179138162,,,0.1264513405626715,-0.003830248924252656,0.00655160474231978,0.007526037157293494,0.0831575238068918,0.06564191916859749,-0.005736346756692503
Classe Energetique,-0.0624086653248942,-0.06176208126342454,-0.08134191810897003,-0.08956737534498797,-0.08983600024401141,1.0,0.09933061920298386,-0.09149164700859408,,,-0.037187244338839326,-0.15353961508672678,0.21934283162518417,0.05894928829119848,-0.0011457097442675917,0.024764879785585052,-0.10129660703262867
Nombre Photos,0.21485579039329925,0.22968280868315716,0.23579216106086912,0.19832780254581547,-0.018426608088912746,0.09933061920298386,1.0,-0.12030201090828982,,,0.1992380187875122,0.022233554207694437,0.17818699010573236,-0.10649908437355174,-0.10905589776951015,-0.030856504494296288,0.06167373713560259
Etage,-0.1103455899092097,-0.09645674761481397,-0.11296656110912229,-0.0916398508439193,0.09716515179138162,-0.09149164700859408,-0.12030201090828982,1.0,,,-0.0005343133792189043,0.15718922039452823,-0.10087491327682963,0.05208920475335374,0.0864563271761509,-0.11282428274456684,0.010957756884604916
Type de Bien,,,,,,,,,,,,,,,,,
Type Vendeur,,,,,,,,,,,,,,,,,
Terrasse,0.3523124038994506,0.26205805146953687,0.2481499913974671,0.31390782684120194,0.1264513405626715,-0.037187244338839326,0.1992380187875122,-0.0005343133792189043,,,1.0,0.29193710406057105,-0.028867513459481305,-0.11083232845811075,-0.12666009927622462,0.07712107744861872,0.17989569074028863
Parking,0.2801195977903571,0.2523194448845915,0.26966980062630097,0.19890788267292378,-0.003830248924252656,-0.15353961508672678,0.022233554207694437,0.15718922039452823,,,0.29193710406057105,1.0,-0.1252085458860307,-0.07913370019838956,-0.07747516350666285,0.027446252510330848,0.2941020711310974
Cave,0.268859170702975,0.29254110609287753,0.28244551539881246,0.18667426751984406,0.00655160474231978,0.21934283162518417,0.17818699010573236,-0.10087491327682963,,,-0.028867513459481305,-0.1252085458860307,1.0,-0.007678688960424407,-0.0950654151365269,-0.15138797440552354,0.07789711910621962
Ascenseur,0.10920577064181207,0.002619041982397569,-0.00942961417832288,0.16890121998655697,0.007526037157293494,0.05894928829119848,-0.10649908437355174,0.05208920475335374,,,-0.11083232845811075,-0.07913370019838956,-0.007678688960424407,1.0,0.4014877645498562,-0.047866048086240745,0.12680732268831588
Gardien,-0.10742145659831928,-0.11924285383634402,-0.11404854923760789,-0.1395946993426064,0.0831575238068918,-0.0011457097442675917,-0.10905589776951015,0.0864563271761509,,,-0.12666009927622462,-0.07747516350666285,-0.0950654151365269,0.4014877645498562,1.0,-0.017257088542478944,-0.022785606048529982
Renove,-0.07109117279611735,-0.02546718753632799,-0.04374307361242996,-0.05032745643642177,0.06564191916859749,0.024764879785585052,-0.030856504494296288,-0.11282428274456684,,,0.07712107744861872,0.027446252510330848,-0.15138797440552354,-0.047866048086240745,-0.017257088542478944,1.0,-0.01803587434773098
Box,0.3184924047158775,0.26650847208749634,0.3673325961022141,0.40183337737398006,-0.005736346756692503,-0.10129660703262867,0.06167373713560259,0.010957756884604916,,,0.17989569074028863,0.2941020711310974,0.07789711910621962,0.12680732268831588,-0.022785606048529982,-0.01803587434773098,1.0
