,"
",Rang,"
",Commune,"
",Préfecture,"
",Population,"
",Ancienne population,"
",Variation,"
","Date
"
0,"
",1,"
",23 Arrondissements spéciaux de Tokyo,"
",Tokyo,"
",9 233 460,"
",8 949 447,"
","+3,17 %","
","09/2015
"
1,"
",2,"
",Yokohama,"
",Kanagawa,"
",3 718 913,"
",3 689 603,"
","+0,79 %","
","05/2015
"
2,"
",3,"
",Ōsaka,"
",Ōsaka,"
",2 694 392,"
",2 666 371,"
","+1,05 %","
","05/2015
"
3,"
",4,"
",Nagoya,"
",Aichi,"
",2 280 415,"
",2 263 907,"
","+0,73 %","
","05/2015
"
4,"
",5,"
",Sapporo,"
",Ishikari,"
",1 934 675,"
",1 914 434,"
","+1,06 %","
","03/2015
"
5,"
",6,"
",Kōbe,"
",Hyōgo,"
",1 536 499,"
",1 544 873,"
","-0,54 %","
","05/2015
"
6,"
",7,"
",Fukuoka,"
",Fukuoka,"
",1 531 919,"
",1 463 826,"
","+4,65 %","
","09/2015
"
7,"
",8,"
",Kawasaki,"
",Kanagawa,"
",1 470 367,"
",1 425 678,"
","+3,13 %","
","05/2015
"
8,"
",9,"
",Kyōto,"
",Kyōto,"
",1 469 107,"
",1 474 473,"
","-0,36 %","
","05/2015
"
9,"
",10,"
",Saitama,"
",Saitama,"
",1 257 262,"
",1 222 910,"
","+2,86 %","
","05/2015
"
10,"
",11,"
",Hiroshima,"
",Hiroshima,"
",1 186 655,"
",1 174 209,"
","+1,06 %","
","05/2015
"
11,"
",12,"
",Sendai,"
",Miyagi,"
",1 075 813,"
",1 045 903,"
","+2,86 %","
","09/2015
"
12,"
",13,"
",Chiba,"
",Chiba,"
",967 679,"
",962 130,"
","-0,03 %","
","05/2015
"
13,"
",14,"
",Kitakyūshū,"
",Fukuoka,"
",958 215,"
",977 288,"
","-1,95 %","
","09/2015
"
14,"
",15,"
",Sakai,"
",Osaka,"
",838 541,"
",842 134,"
","+0,58 %","
","05/2015
"
15,"
",16,"
",Niigata,"
",Niigata,"
",806 621,"
",812 192,"
","-0,69 %","
","05/2015
"
16,"
",17,"
",Hamamatsu,"
",Shizuoka,"
",789 407,"
",800 912,"
","-1,81 %","
","09/2015
"
17,"
",18,"
",Kumamoto,"
",Kumamoto,"
",739 638,"
",734 294,"
","+0,73 %","
","05/2015
"
18,"
",19,"
",Sagamihara,"
",Kanagawa,"
",723 573,"
",717 561,"
","+0,84 %","
","05/2015
"
19,"
",20,"
",Okayama,"
",Okayama,"
",715 613,"
",709 584,"
","+0,85 %","
","05/2015
"
20,"
",21,"
",Shizuoka,"
",Shizuoka,"
",703 393,"
",716 328,"
","-1,81 %","
","09/2015
"
21,"
",22,"
",Funabashi,"
",Chiba,"
",622 217,"
",609 081,"
","+2,16 %","
","05/2015
"
22,"
",23,"
",Kagoshima,"
",Kagoshima,"
",605 575,"
",605 940,"
","-0,06 %","
","05/2015
"
23,"
",24,"
",Hachiōji,"
",Tokyo,"
",579 378,"
",579 799,"
","-0,07 %","
","09/2015
"
24,"
",25,"
",Kawaguchi,"
",Saitama,"
",573 892,"
",561 211,"
","+2,26 %","
","05/2015
"
25,"
",26,"
",Himeji,"
",Hyōgo,"
",533 165,"
",536 338,"
","-0,59 %","
","05/2015
"
26,"
",27,"
",Utsunomiya,"
",Tochigi,"
",518 670,"
",511 296,"
","+1,44 %","
","09/2015
"
27,"
",28,"
",Matsuyama,"
",Ehime,"
",515 937,"
",517 088,"
","-0,22 %","
","05/2015
"
28,"
",29,"
",Higashiōsaka,"
",Osaka,"
",502 259,"
",509 632,"
","-1,45 %","
","05/2015
"
29,"
",30,"
",Matsudo,"
",Chiba,"
",487 712,"
",484 639,"
","-0,43 %","
","05/2015
"
30,"
",31,"
",Nishinomiya,"
",Hyōgo,"
",485 399,"
",482 790,"
","+1,02 %","
","05/2015
"
31,"
",32,"
",Kurashiki,"
",Okayama,"
",478 864,"
",475 513,"
","+0,70 %","
","05/2015
"
32,"
",33,"
",Ōita,"
",Ōita,"
",478 025,"
",473 955,"
","+0,86 %","
","09/2015
"
33,"
",34,"
",Ichikawa,"
",Chiba,"
",475 207,"
",474 926,"
","+0,06 %","
","05/2015
"
34,"
",35,"
",Kanazawa,"
",Ishikawa,"
",465 279,"
",462 478,"
","+0,61 %","
","05/2015
"
