Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
118,5,3,995000,75018,3,10,1,1,1,-1,-1,1,-1,1,-1,-1
68,2,1,998000,75004,4,10,5,1,1,1,-1,1,1,1,-1,-1
90,4,2,1000000,75017,4,7,2,1,1,-1,-1,1,1,1,-1,-1
64,3,2,1025000,75019,1,2,3,1,1,-1,-1,-1,1,-1,-1,-1
95,4,2,1030000,75016,5,10,4,1,1,1,1,1,1,1,-1,-1
90,3,2,1040000,75003,4,10,1,1,1,-1,-1,1,-1,1,-1,-1
82,4,2,1045000,75014,5,10,5,1,1,-1,-1,1,-1,-1,-1,-1
80,3,2,1049000,75004,5,10,2,1,1,1,-1,-1,-1,-1,1,-1
95,5,3,1050000,75018,5,10,6,1,1,-1,-1,1,1,1,-1,-1
85,4,3,1050000,75007,0,5,-1,1,1,-1,-1,1,1,1,-1,-1
87,4,3,1050000,75012,0,10,7,1,1,1,1,1,1,-1,-1,1
96,5,3,1057000,75012,0,10,2,1,1,1,-1,1,1,-1,-1,-1
102,4,2,1065000,75016,1,10,1,1,1,-1,-1,1,1,-1,-1,-1
100,5,3,1070000,75018,4,10,2,1,1,-1,-1,1,-1,-1,-1,-1
75,3,1,1075000,75008,4,7,-1,1,1,1,-1,1,1,-1,-1,-1
67,3,2,1075000,75006,5,10,3,1,1,-1,-1,1,1,-1,-1,-1
91,4,3,1077000,75016,4,9,5,1,1,-1,1,1,1,-1,-1,-1
68,4,3,1079000,75007,5,10,2,1,1,-1,-1,1,1,-1,-1,-1
84,4,3,1080000,75018,4,10,1,1,1,-1,-1,1,1,-1,-1,-1
91,4,3,1090000,75018,3,10,1,1,1,-1,-1,1,1,1,-1,-1
91,4,3,1090000,75018,3,10,1,1,1,1,1,1,1,1,-1,-1
89,3,2,1100000,75008,5,9,6,1,1,-1,-1,-1,-1,-1,-1,-1
102,4,3,1100000,75016,4,10,3,1,1,1,1,-1,1,-1,-1,-1
108,5,3,1100000,75012,5,10,5,1,1,-1,-1,-1,-1,-1,-1,-1
105,3,2,1100000,75016,4,10,1,1,1,-1,-1,1,1,-1,-1,-1
93,4,3,1100000,75017,0,10,4,1,1,-1,-1,-1,-1,-1,-1,-1
106,5,4,1109000,75013,0,10,3,1,1,1,-1,1,-1,-1,-1,-1
149,5,5,1120000,75016,3,10,-1,1,1,-1,-1,1,1,1,-1,-1
